"","Acss1","Adcyap1","Adgrl2","Aqp4","Arc","Arf5","Arhgap24","Arl4d","Arx","Batf3","Bcl6","Bdnf","Bgn","Btg2","Calb2","Car12","Car4","Cbln4","Cck","Cdh13","Cdk6","Chat","Chodl","Chrna6","Col6a1","Cplx3","Cpne5","Crh","Crispld2","Csrnp1","Ctgf","Ctxn3","Cux2","Cxcl14","Ddit4l","Deptor","Egr1","Egr2","Egr4","Enpp2","eRNA1","eRNA2","eRNA3","eRNA4","eRNA5","Fam19a1","Flt1","Fos","Fosb","Fosl1","Fosl2","Foxp2","Frmd7","Frmpd3","Gad1","Gad2","Gda","Gpc3","Gpr3","Gpx3","Homer1","Hsd11b1","Htr3a","Igf1","Igtp","Itgam","Junb","Kcna1","Kcnip2","Kcnk2","Lhx6","Lmo2","Mab21l1","Mdga1","Mgp","Mog","Mybpc1","Myh8","Myl4","Mylk","Myo1c","Ndnf","Nectin3","Nectin4","Ngb","Nos1","Nov","Npas4","Nptx2","Npy","Nr4a2","Nrn1","Obox3","Osgin2","Otof","Parm1","Pax6","Pcdhac1","Pcdhac2","Pcdhgc3","Pcdhgc4","Pcdhgc5","Pcp4","Pde1a","Pde1c","Pdgfra","Pdzrn3","Penk","Plcxd2","Pnoc","Ppm1h","Prok2","Prss22","Ptgs2","Pthlh","Pvalb","Qrfpr","Rasgrf2","Reln","Rerg","Rgs10","Rgs12","Rgs2","Rorb","Rprm","Rspo2","Scnn1a","Sema3c","Sema3e","Serpinb11","Serpine1","Sla","Slc17a7","Slc25a36","Slc5a7","Smad3","Sncg","Spp1","Sst","Stac","Sulf2","Synpr","Syt17","Syt6","Tacr1","Tacr3","Tacstd2","Tbr1","Tcerg1l","Th","Thsd7a","Tnfaip6","Tnfaip8l3","Tnmd","Tpbg","Tph2","Ucma","Vgf","Vip","Wt1","Wfs1","Tnnc1","Sccpdh","Rbp4","Etv1","Drd1"
"225x3964",0,0,0,14,0,1,0,0,3,0,2,0,4,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"327x4330",0,0,19,8,0,0,0,4,16,12,2,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,6,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,21,0,0,1,0,0,0,0,0,1,0,0,2,0,0
"278x3599",0,0,5,46,0,7,0,2,59,0,25,0,5,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,8,10,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"374x5376",6,10,0,8,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0
"411x5024",1,0,0,3,0,0,0,4,41,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0
"437x5249",1,7,1,29,0,0,0,0,26,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,4,0,10,0,3,0,0,4,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"431x4591",0,0,0,23,0,0,0,0,46,0,1,0,1,0,0,0,0,0,3,9,0,0,14,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,15,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,0,0,7,0,0,0,0,27,6,4,0,0,0,0,0,0,6,0,1,3,3,0,1,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,2,0
"455x2706",0,0,11,21,2,5,0,0,28,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,1,6,0,0,14,0,0,4,0,0,0,0,0,4,0,4,14,0,0,3,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,7,0,0,21,0,1,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,5,8,0,0,6,0,0
"561x138",0,2,18,0,3,26,0,10,31,2,9,0,1,1,0,0,0,0,10,16,0,1,5,0,5,0,5,0,18,0,8,0,10,16,0,0,4,0,1,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,14,0,6,2,14,0,1,8,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,15,12,0,0,0,0,1,0,4,22,0,7,0,0,4,0,11,0,7,0,0,2,0,0,0,21,11,0,0,2,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,4,50,7,0,5,0,0,0,0,0,1,15,1,0,0,19,0,0,0,0,6,0,0,0,0,0,7,0,0,9,0,0,0,0,1
"538x5785",0,0,2,6,0,9,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530x2833",0,0,6,8,0,3,0,0,8,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,1,0,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,12,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0
"539x2954",0,0,1,2,0,0,0,0,16,0,5,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"587x1839",4,1,0,3,0,0,0,2,3,0,15,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,4,0,12,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,20,0,0,10,0,5,0,6,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0
"606x6172",1,0,2,21,3,14,1,0,19,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,2,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,1,0,0,0,0,0,6,0,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,26,2,1,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,7,0,0,15,2,0,0,3,0,0,0,0,0,0,0,1,2,0
"622x6005",10,0,8,7,0,4,0,2,18,0,21,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,5,0,4,24,0,0,0,18,0,4,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
"621x686",3,0,21,5,0,12,0,1,17,3,3,0,16,0,0,0,0,0,12,8,0,0,0,0,2,10,11,0,8,0,0,0,8,18,0,0,3,0,0,7,0,0,24,0,0,0,0,0,2,3,0,0,0,0,12,0,11,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,1,12,0,6,0,0,6,0,11,56,0,1,0,0,11,0,14,0,9,0,0,32,0,0,0,15,17,0,0,0,0,0,1,2,0,0,3,0,0,0,2,1,0,0,0,0,9,70,10,0,12,0,0,0,0,0,4,23,0,0,0,17,0,0,0,1,6,0,0,0,5,0,0,0,0,14,0,9,2,0,0
"608x6495",6,0,9,14,0,0,0,0,0,2,3,0,0,0,3,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,5,9,0,0,0,0,1,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"675x2050",0,0,11,3,8,1,0,0,31,0,2,0,0,0,0,0,2,0,6,4,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,5,0,6,0,0,1,7,0,0,8,0,1,0,0,0,0,0,0,34,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,9,0,0,0,0,1,6,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,0,3,0,0,0,0,0,0,0,0
"718x5878",0,0,7,2,1,4,2,11,16,0,25,0,1,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,5,0,0,0,3,1,0,12,0,0,0,0,0,35,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,14,0,3,0,5,0,0,2,2,0,0,0,6,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,2,0,0
"682x3065",0,0,0,8,0,0,0,2,13,0,15,0,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,1,1,0,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,7,0,0,2,0,8,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"683x6467",0,0,23,18,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,8,0,0,1,0,0,0,17,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,8,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"662x445",0,0,9,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,6,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,2,11,0,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
"691x2692",0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"683x340",0,0,13,4,0,6,0,0,11,0,29,1,0,0,0,0,0,0,12,5,0,0,0,0,3,0,12,0,0,0,11,0,2,15,9,0,16,0,1,10,0,4,39,0,0,1,0,0,9,6,0,0,0,0,0,0,9,0,0,0,8,8,0,10,2,0,0,3,0,0,0,0,0,0,0,0,6,0,6,0,1,0,0,0,16,21,3,0,0,0,1,1,0,9,24,0,3,1,0,15,0,3,0,7,0,0,5,1,0,0,11,17,0,0,17,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,6,8,0,4,0,1,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,1,0,0,1,12,0,0,37,0,0,0,3,0
"678x3620",0,0,3,3,0,12,0,0,27,0,26,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,19,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,6,0
